k_value,cluster,sample_count,qualification_rate,f1_score,min_bmi,max_bmi,optimal_week
5,1,423,0.8250591016548463,0.8250591016548463,20.703125,46.875,10.1
5,2,24,0.5,0.5,29.296875,46.875,11.2
6,1,423,0.8250591016548463,0.8250591016548463,20.703125,46.875,10.1
6,2,24,0.5,0.5,29.296875,46.875,11.2
7,1,423,0.8250591016548463,0.8250591016548463,20.703125,46.875,10.1
7,2,24,0.5,0.5,29.296875,46.875,11.2
8,1,423,0.8250591016548463,0.8250591016548463,20.703125,46.875,10.1
8,2,24,0.5,0.5,29.296875,46.875,11.2
9,1,423,0.8250591016548463,0.8250591016548463,20.703125,46.875,10.1
9,2,24,0.5,0.5,29.296875,46.875,11.2
10,1,423,0.8250591016548463,0.8250591016548463,20.703125,46.875,10.1
10,2,24,0.5,0.5,29.296875,46.875,11.2
11,1,423,0.8250591016548463,0.8250591016548463,20.703125,46.875,10.1
11,2,24,0.5,0.5,29.296875,46.875,11.2
12,1,423,0.8250591016548463,0.8250591016548463,20.703125,46.875,10.1
12,2,24,0.5,0.5,29.296875,46.875,11.2
