cluster,min_bmi,max_bmi,mean_bmi,count,k_value,epsilon,algorithm,min_cluster_size
1,20.703125,45.714286,32.01951887179488,156,3,7.912399854953995,DBSCAN,
2,29.752066,32.046146,31.146279000000003,3,3,7.912399854953995,DBSCAN,
0,29.752066,32.046146,31.146279000000003,3,4,8.004007900181525,DBSCAN,
1,20.703125,45.714286,32.01951887179488,156,4,8.004007900181525,DBSCAN,
0,29.752066,32.046146,31.146279000000003,3,5,8.013289324804385,DBSCAN,
1,20.703125,45.714286,32.01951887179488,156,5,8.013289324804385,DBSCAN,
0,29.752066,32.046146,31.146279000000003,3,6,8.17406099567989,DBSCAN,
1,20.703125,45.714286,32.01951887179488,156,6,8.17406099567989,DBSCAN,
0,29.752066,32.046146,31.146279000000003,3,7,8.067391887880673,DBSCAN,
1,20.703125,45.714286,32.01951887179488,156,7,8.067391887880673,DBSCAN,
0,29.752066,32.046146,31.146279000000003,3,8,8.26643054003803,DBSCAN,
1,20.703125,45.714286,32.01951887179488,156,8,8.26643054003803,DBSCAN,
0,29.752066,32.046146,31.146279000000003,3,9,4.682301341410399,DBSCAN,
1,20.703125,45.714286,32.01951887179488,156,9,4.682301341410399,DBSCAN,
0,29.752066,32.046146,31.146279000000003,3,10,4.911580662088275,DBSCAN,
1,20.703125,45.714286,32.01951887179488,156,10,4.911580662088275,DBSCAN,
-1,20.703125,45.714286,34.792651035714286,28,,,HDBSCAN,5
0,28.981143,33.59375,31.070617000000006,5,,,HDBSCAN,5
1,34.516765,38.754325,37.2117362,5,,,HDBSCAN,5
2,27.901052,36.885092,31.28258142727272,110,,,HDBSCAN,5
3,28.719723,32.051282,30.163075363636366,11,,,HDBSCAN,5
-1,20.703125,45.714286,33.82335756716417,67,,,HDBSCAN,6
0,28.719723,30.888889,29.789102444444445,9,,,HDBSCAN,6
1,34.049031,35.883634,34.924393249999994,8,,,HDBSCAN,6
2,27.901052,32.690542,30.05356836231885,69,,,HDBSCAN,6
3,33.331832,33.874064,33.52092316666667,6,,,HDBSCAN,6
-1,20.703125,45.714286,34.54104863414635,41,,,HDBSCAN,7
0,27.901052,36.508713,31.23118224770642,109,,,HDBSCAN,7
1,28.719723,30.888889,29.789102444444445,9,,,HDBSCAN,7
-1,20.703125,45.714286,34.45142860465117,43,,,HDBSCAN,8
0,27.901052,36.363636,31.18231622222222,108,,,HDBSCAN,8
1,29.053288,30.888889,29.922774875,8,,,HDBSCAN,8
-1,20.703125,45.714286,32.00304264779875,159,,,HDBSCAN,9
-1,20.703125,45.714286,32.00304264779875,159,,,HDBSCAN,10
-1,20.703125,45.714286,32.00304264779875,159,,,HDBSCAN,11
-1,20.703125,45.714286,32.00304264779875,159,,,HDBSCAN,12
