cluster,min_bmi,max_bmi,mean_bmi,count,k_value,epsilon,algorithm,min_cluster_size
1,20.703125,45.714286,32.088932306122445,98,3,7.912399854953995,DBSCAN,
2,26.619343,42.382812,31.77248280246912,162,3,7.912399854953995,DBSCAN,
1,20.703125,45.714286,32.088932306122445,98,4,8.004007900181525,DBSCAN,
2,26.619343,42.382812,31.77248280246912,162,4,8.004007900181525,DBSCAN,
1,20.703125,45.714286,32.088932306122445,98,5,8.013289324804385,DBSCAN,
2,26.619343,42.382812,31.77248280246912,162,5,8.013289324804385,DBSCAN,
1,20.703125,45.714286,32.088932306122445,98,6,8.17406099567989,DBSCAN,
2,26.619343,42.382812,31.77248280246912,162,6,8.17406099567989,DBSCAN,
1,20.703125,45.714286,32.088932306122445,98,7,8.021687861458151,DBSCAN,
2,26.619343,42.382812,31.77248280246912,162,7,8.021687861458151,DBSCAN,
1,20.703125,45.714286,32.088932306122445,98,8,8.686828562335926,DBSCAN,
2,26.619343,42.382812,31.77248280246912,162,8,8.686828562335926,DBSCAN,
1,20.703125,45.714286,32.088932306122445,98,9,4.682301341410399,DBSCAN,
2,26.619343,42.382812,31.77248280246912,162,9,4.682301341410399,DBSCAN,
1,20.703125,45.714286,32.088932306122445,98,10,4.911580662088275,DBSCAN,
2,26.619343,42.382812,31.77248280246912,162,10,4.911580662088275,DBSCAN,
-1,20.703125,45.714286,35.255163657142866,35,,,HDBSCAN,5
0,28.981143,33.59375,31.070617000000006,5,,,HDBSCAN,5
1,27.881343,36.885092,31.439138459330135,209,,,HDBSCAN,5
2,28.719723,32.051282,30.163075363636366,11,,,HDBSCAN,5
-1,20.703125,45.714286,34.59466000000001,42,,,HDBSCAN,6
0,27.881343,36.885092,31.439138459330135,209,,,HDBSCAN,6
1,28.719723,30.888889,29.789102444444445,9,,,HDBSCAN,6
-1,20.703125,45.714286,34.59466000000001,42,,,HDBSCAN,7
0,28.719723,32.046146,30.014806800000002,10,,,HDBSCAN,7
1,27.881343,36.885092,31.43622015384614,208,,,HDBSCAN,7
-1,20.703125,45.714286,34.51319397727274,44,,,HDBSCAN,8
0,27.881343,36.508713,31.412955990384603,208,,,HDBSCAN,8
1,29.053288,30.888889,29.922774875,8,,,HDBSCAN,8
-1,20.703125,45.714286,32.32585460301506,199,,,HDBSCAN,9
0,32.136434,32.763942,32.4561416,10,,,HDBSCAN,9
1,28.90625,31.631736,30.087276431372544,51,,,HDBSCAN,9
-1,20.703125,45.714286,31.891759923076915,260,,,HDBSCAN,10
-1,20.703125,45.714286,31.891759923076915,260,,,HDBSCAN,11
-1,20.703125,45.714286,31.891759923076915,260,,,HDBSCAN,12
